Date : 2022-07-12 11:22:12
Directory : /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio
Total : 676 files,  129162 codes, 45034 comments, 26850 blanks, all 201046 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_deadline_timer.hpp                           | C++          |        221 |        441 |         48 |        710 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_file.hpp                                     | C++          |        337 |        435 |         58 |        830 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_io_object.hpp                                | C++          |        174 |         71 |         46 |        291 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_random_access_file.hpp                       | C++          |        251 |        389 |         50 |        690 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_raw_socket.hpp                               | C++          |        465 |        803 |         75 |      1,343 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_readable_pipe.hpp                            | C++          |        226 |        258 |         46 |        530 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_seq_packet_socket.hpp                        | C++          |        280 |        486 |         51 |        817 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_serial_port.hpp                              | C++          |        365 |        508 |         67 |        940 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_signal_set.hpp                               | C++          |        211 |        343 |         39 |        593 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_socket.hpp                                   | C++          |        584 |      1,258 |         95 |      1,937 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_socket_acceptor.hpp                          | C++          |        882 |      1,690 |        115 |      2,687 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_socket_iostream.hpp                          | C++          |        233 |        121 |         54 |        408 |
